department,year,ubigeo,iddpto,population,cases_men5,cases_60mas,hosp_men5,hosp_60mas,death_men5,death_60mas,cases_rate_men5,cases_rate_60mas,hosp_rate_men5,hosp_rate_60mas,death_rate_men5,death_rate_60mas,inc_rate_men5,inc_rate_60mas
APURIMAC,2018,30000,3,427323,466,384,142,167,2,23,109.05099889310895,89.86176732822713,33.23013270991732,39.08050818701544,0.46803003816784955,5.382345438930271,109.05,89.86
APURIMAC,2019,30000,3,429587,301,362,92,159,7,24,70.06729719474751,84.266982008301,21.41591807945771,37.012293202541045,1.629472027784826,5.586761238119403,70.07,84.27
APURIMAC,2020,30000,3,430736,70,212,32,78,4,16,16.251253668140112,49.21808253779577,7.429144534006909,18.10853980164184,0.9286430667508636,3.7145722670034544,16.25,49.22
APURIMAC,2021,30000,3,430609,69,382,29,64,0,7,16.023817430662156,88.7115689639557,6.734647905640616,14.862671240034462,0.0,1.6256046668787696,16.02,88.71
APURIMAC,2022,30000,3,429720,265,289,153,162,4,26,61.66806292469515,67.25309503862981,35.60457972633343,37.69896676905892,0.9308386856557759,6.050451456762543,61.67,67.25
APURIMAC,2023,30000,3,428311,346,504,158,212,2,41,80.78242211850734,117.67150505123612,36.88908293272878,49.49674418821837,0.4669504168699846,9.572483545834686,80.78,117.67
AREQUIPA,2000,40000,4,1034554,3193,0,797,0,52,0,308.63541197462865,0.0,77.0380279811397,0.0,5.026320520726806,0.0,308.64,0.0
AREQUIPA,2001,40000,4,1051376,3102,0,1100,0,32,0,295.04192600934397,0.0,104.62479645721417,0.0,3.043630442391685,0.0,295.04,0.0
AREQUIPA,2002,40000,4,1068197,2857,0,958,0,10,0,267.4600284404468,0.0,89.6838317276682,0.0,0.9361569073869334,0.0,267.46,0.0
AREQUIPA,2003,40000,4,1085018,3136,0,983,0,10,0,289.02746313886036,0.0,90.59757533976395,0.0,0.9216436962336109,0.0,289.03,0.0
AREQUIPA,2004,40000,4,1101839,2435,0,924,0,18,0,220.99417428499083,0.0,83.85980165886305,0.0,1.6336324998479812,0.0,220.99,0.0
AREQUIPA,2005,40000,4,1118661,2482,0,898,0,7,0,221.8723992344419,0.0,80.27454251109138,0.0,0.6257481042067258,0.0,221.87,0.0
AREQUIPA,2006,40000,4,1135482,2890,41,917,1,14,0,254.51746482991365,3.6108014041614043,80.7586557955124,0.08806832693076597,1.2329565770307234,0.0,254.52,3.61
AREQUIPA,2007,40000,4,1152303,2509,590,880,102,15,48,217.7378692930592,51.201810634876416,76.36880230286653,8.851838448741345,1.3017409483443156,4.16557103470181,217.74,51.2
AREQUIPA,2008,40000,4,1183116,2755,1028,1043,55,17,59,232.85966887439608,86.88919767799608,88.15703616551546,4.648741120904459,1.4368836191886512,4.986831384242965,232.86,86.89
AREQUIPA,2009,40000,4,1213929,2364,1121,856,380,15,76,194.73956055090537,92.3447746944014,70.51483241606387,31.30331345572929,1.2356571100945772,6.260662691145858,194.74,92.34
AREQUIPA,2010,40000,4,1244742,1963,1464,741,449,10,85,157.70336342792322,117.61473461970432,59.5304087112028,36.071732134048666,0.803379334834046,6.82872434608939,157.7,117.61
AREQUIPA,2011,40000,4,1275555,1839,1750,578,748,27,107,144.17253666051246,137.19518170521852,45.31360858606646,58.64114052314482,2.1167256605948,8.388505395690505,144.17,137.2
AREQUIPA,2012,40000,4,1306368,1669,1561,627,763,12,149,127.75879384675682,119.49159807956104,47.99566431510876,58.406207133058984,0.9185773074661964,11.405668234371937,127.76,119.49
AREQUIPA,2013,40000,4,1337181,1634,1308,531,544,5,74,122.19736894257397,97.81772250727462,39.710405696760574,40.68260018651178,0.3739209575966156,5.534030172429911,122.2,97.82
AREQUIPA,2014,40000,4,1367994,1389,1259,416,435,6,48,101.53553305058355,92.03256739430144,30.40949010010278,31.798385080636315,0.4385984149053285,3.508787319242628,101.54,92.03
AREQUIPA,2015,40000,4,1398807,1487,1274,557,385,3,10,106.30487265219577,91.07761113577499,39.819646312893774,27.523453914657278,0.2144684720622645,0.714894906874215,106.3,91.08
AREQUIPA,2016,40000,4,1429620,1819,1863,765,430,3,36,127.23660832948615,130.31434926763754,53.51072312922315,30.07792280466138,0.20984597305577704,2.5181516766693246,127.24,130.31
AREQUIPA,2017,40000,4,1460433,1789,1726,913,534,2,65,122.49791671374173,118.18412758407952,62.51570595843835,36.564498337136996,0.1369456866559438,4.450734816318175,122.5,118.18
AREQUIPA,2018,40000,4,1428708,1996,1959,1208,596,6,51,139.70664404482932,137.11689162516063,84.55191683675041,41.71601194925765,0.4199598518381643,3.5696587406243965,139.71,137.12
AREQUIPA,2019,40000,4,1464638,1676,2205,874,552,4,216,114.43100615988388,150.54914593230544,59.67344831965305,37.68849367557035,0.2731050266345677,14.747671438266655,114.43,150.55
AREQUIPA,2020,40000,4,1497438,236,2127,69,893,0,126,15.760251843482001,142.04260877578903,4.607870242373974,59.635190238260286,0.0,8.414371746943779,15.76,142.04
AREQUIPA,2021,40000,4,1526669,301,2869,130,1186,3,114,19.716127071421507,187.92547696979503,8.51527082818869,77.68547078639835,0.1965062498812775,7.467237495488543,19.72,187.93
AREQUIPA,2022,40000,4,1553994,1030,1778,396,766,7,287,66.28082219107668,114.41485617061583,25.48272387152074,49.29233961006285,0.4504521896480939,18.46853977557185,66.28,114.41
AREQUIPA,2023,40000,4,1580075,1946,2062,656,564,9,296,123.1587108206889,130.500134487287,41.51701659731342,35.69450817208044,0.5695932155119219,18.733287976836543,123.16,130.5
AYACUCHO,2000,50000,5,552498,1555,0,307,0,20,0,281.44898262075156,0.0,55.565812002939374,0.0,3.6199226060546823,0.0,281.45,0.0
AYACUCHO,2001,50000,5,561068,1119,0,232,0,3,0,199.44106596704856,0.0,41.34971162140774,0.0,0.5346945468285483,0.0,199.44,0.0
AYACUCHO,2002,50000,5,569638,858,0,220,0,7,0,150.62197395538922,0.0,38.62101896292031,0.0,1.228850603365646,0.0,150.62,0.0
AYACUCHO,2003,50000,5,578208,849,0,234,0,14,0,146.83297360119542,0.0,40.46986551552383,0.0,2.42127400520228,0.0,146.83,0.0
AYACUCHO,2004,50000,5,586779,768,0,182,0,19,0,130.88402959206107,0.0,31.016788262701972,0.0,3.2380163570952605,0.0,130.88,0.0
AYACUCHO,2005,50000,5,595349,782,0,275,0,24,0,131.35152658356697,0.0,46.19139361954081,0.0,4.03124889770538,0.0,131.35,0.0
AYACUCHO,2006,50000,5,603919,793,23,212,22,5,1,131.3090000480197,3.8084577567521474,35.10404541006327,3.6428726368933577,0.827925599293945,0.16558511985878901,131.31,3.81
AYACUCHO,2007,50000,5,612489,713,132,251,49,18,8,116.41025389843736,21.551407453848153,40.980327809968834,8.000143676049692,2.9388282891611115,1.3061459062938272,116.41,21.55
AYACUCHO,2008,50000,5,616334,828,225,300,28,10,3,134.34274273364767,36.506180090665126,48.6749067875535,4.542991300171661,1.6224968929184502,0.486749067875535,134.34,36.51
AYACUCHO,2009,50000,5,620179,476,116,230,44,10,1,76.75203449326726,18.7042773134853,37.086067087082924,7.094725877528908,1.6124376994383878,0.1612437699438388,76.75,18.7
AYACUCHO,2010,50000,5,624024,535,94,245,57,8,5,85.73388203017832,15.063523197825726,39.26131046241811,9.134264066766663,1.2820019742830404,0.8012512339269002,85.73,15.06
AYACUCHO,2011,50000,5,627869,412,111,176,87,12,1,65.61878353605609,17.678847020636468,28.031325005693862,13.856393610769125,1.9112267049336724,0.15926889207780603,65.62,17.68
AYACUCHO,2012,50000,5,631714,441,155,160,106,11,3,69.81007227954422,24.53641996219808,25.327917380333503,16.779745264470947,1.7412943198979287,0.4748984508812532,69.81,24.54
